Sun May 31 20:37:55 2026    c:/Users/pisci/Desktop/apps/pyqt_gallery/pyqt_gallery.prof

         1049948 function calls (1029983 primitive calls) in 31.861 seconds

   Ordered by: cumulative time
   List reduced from 4671 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    873/1    0.024    0.000  121.153  121.153 {built-in method builtins.exec}
        1    0.112    0.112  121.153  121.153 main.py:1(<module>)
    40/34    0.001    0.000   10.638    0.313 C:\Users\pisci\Desktop\apps\pyqt_gallery\studio_logger.py:139(wrapper)
        1    0.000    0.000    6.297    6.297 C:\Users\pisci\Desktop\apps\pyqt_gallery\editor\image_tab.py:711(toggle_ai)
        3    0.000    0.000    6.207    2.069 C:\Users\pisci\Desktop\apps\pyqt_gallery\editor\image_tab.py:1370(cancel_edits_prompt)
        1    3.968    3.968    6.169    6.169 {built-in method exec}
        1    0.000    0.000    5.070    5.070 C:\Users\pisci\Desktop\apps\pyqt_gallery\.venv\Lib\site-packages\qfluentwidgets\components\widgets\button.py:80(mouseReleaseEvent)
        1    0.000    0.000    5.070    5.070 {function PushButton.mouseReleaseEvent at 0x000001F6AA0CB100}
        1    0.000    0.000    5.069    5.069 C:\Users\pisci\Desktop\apps\pyqt_gallery\ui\gallery_window.py:269(open_folder_dialog)
        1    5.047    5.047    5.048    5.048 {built-in method getExistingDirectory}
        3    3.373    1.124    3.376    1.125 {built-in method question}
      248    0.052    0.000    3.354    0.014 C:\Users\pisci\Desktop\apps\pyqt_gallery\editor\image_tab.py:1473(update_image)
        7    0.000    0.000    3.200    0.457 C:\Users\pisci\AppData\Local\Programs\Python\Python311\Lib\subprocess.py:417(check_output)
        7    0.000    0.000    3.200    0.457 C:\Users\pisci\AppData\Local\Programs\Python\Python311\Lib\subprocess.py:505(run)
        1    0.000    0.000    3.183    3.183 C:\Users\pisci\Desktop\apps\pyqt_gallery\core\env_setup.py:29(ensure_optimal_onnx_runtime)
        3    0.000    0.000    3.178    1.059 C:\Users\pisci\Desktop\apps\pyqt_gallery\core\env_setup.py:16(_is_package_installed)
        4    0.000    0.000    3.174    0.794 C:\Users\pisci\AppData\Local\Programs\Python\Python311\Lib\subprocess.py:1161(communicate)
       13    3.173    0.244    3.173    0.244 {method 'read' of '_io.TextIOWrapper' objects}
        3    2.710    0.903    2.830    0.943 C:\Users\pisci\Desktop\apps\pyqt_gallery\editor\image_tab.py:1378(cancel_edits)
